id,ra,dec,obj_type
7005813300150005914600060103,36.192396,-5.1410316,Error
7005774500150005914600060103,36.424619,-5.592325,Error
7005772100150005914600060103,36.549978,-5.6699082,No SDSS Spectro
7005777100150005914600060103,36.485111,-5.5807258,Error
7005777900150005914600060103,36.42662,-5.4974372,Error
7005800500150005914600060103,36.399335,-5.4463705,Error
7005777300150005914600060103,36.482265,-5.5536291,Error
7005777700150005914600060103,36.508783,-5.515219,Error
7005801300150005914600060103,36.481596,-5.4394195,Error
7005768100150005914600060103,36.615073,-5.6857975,No SDSS Spectro
7005769800150005914600060103,36.701757,-5.6266855,No SDSS Spectro
7005788400150005914600060103,36.788669,-5.4260501,Error
7005814100150005914600060103,36.570522,-5.3647231,Error
7005816400150005914600060103,36.478611,-5.2318077,Error
7005827100150005914600060103,36.390803,-5.1339176,Error
7005791700150005914600060103,36.6211,-5.3406821,No SDSS Spectro
7005795200150005914600060103,36.824526,-5.2733159,Error
7005820700150005914600060103,36.718865,-5.1056009,Error
7005824200150005914600060103,36.628296,-5.0978289,Error
7005819700150005914600060103,36.743174,-5.1730319,Error
7005820100150005914600060103,36.790309,-5.1336283,No SDSS Spectro
7006232400150005914600060103,35.745446,-4.9812354,Error
7006231600150005914600060103,35.994356,-4.8977184,Error
7006265300150005914600060103,35.731332,-4.7362476,Error
7006233500150005914600060103,35.888538,-4.8230077,No SDSS Spectro
7006248200150005914600060103,35.978401,-4.8041935,Error
7006237400150005914600060103,36.121325,-4.9688379,Error
7006238600150005914600060103,36.121842,-4.8845679,No SDSS Spectro
7006237600150005914600060103,36.202877,-4.9352823,Error
7006237100150005914600060103,36.269963,-4.8964073,No SDSS Spectro
7006246100150005914600060103,36.048143,-4.8131476,Error
7006246900150005914600060103,36.137253,-4.7950972,Error
7006239500150005914600060103,36.158016,-4.8340666,Error
7006278300150005914600060103,35.906335,-4.668395,Error
7006278700150005914600060103,35.981284,-4.6088569,No SDSS Spectro
7006288200150005914600060103,35.723401,-4.4914508,Error
7006291400150005914600060103,35.814127,-4.433365,Error
7006284300150005914600060103,35.967474,-4.508854,Error
7006292000150005914600060103,35.919939,-4.3821004,Error
7006249400150005914600060103,36.098432,-4.6852045,No SDSS Spectro
7006281800150005914600060103,36.100735,-4.5416633,Error
7006255700150005914600060103,36.20779,-4.5072066,Error
7006282700150005914600060103,36.031847,-4.5034385,Error
7006283800150005914600060103,36.162391,-4.4517559,Error
