id,ra,dec,obj_type,prob_Galaxy,prob_Star,prob_QSO
7006308000150005914600060103,34.587099,-4.909483,No class,-1,-1,-1
7006318000150005914600060103,34.572718,-4.8534795,No class,-1,-1,-1
7006318500150005914600060103,34.624239,-4.7955284,No class,-1,-1,-1
7006311700150005914600060103,34.675845,-4.9392071,No class,-1,-1,-1
7006311400150005914600060103,34.78457,-4.9170703,No class,-1,-1,-1
7006319200150005914600060103,34.685305,-4.8068753,No class,-1,-1,-1
7006319100150005914600060103,34.760805,-4.7745729,No class,-1,-1,-1
7006208800150005914600060103,34.816209,-5.084183,No class,-1,-1,-1
7006209200150005914600060103,34.893815,-5.0142663,No class,-1,-1,-1
7006209800150005914600060103,35.008713,-5.0172446,No class,-1,-1,-1
7006213700150005914600060103,35.100372,-4.9527072,No class,-1,-1,-1
7006312400150005914600060103,34.847065,-4.8635703,No class,-1,-1,-1
7006313200150005914600060103,34.968813,-4.880649,No class,-1,-1,-1
7006313500150005914600060103,35.054588,-4.8539133,No class,-1,-1,-1
7006342600150005914600060103,34.533778,-4.7033445,No class,-1,-1,-1
7006322300150005914600060103,34.764589,-4.6597575,No class,-1,-1,-1
7006347600150005914600060103,34.719909,-4.5451203,No class,-1,-1,-1
7006324100150005914600060103,34.809089,-4.4931579,No class,-1,-1,-1
7006403200150005914600060103,34.79469,-4.4499515,No class,-1,-1,-1
7006404400150005914600060103,34.791726,-4.4073729,No class,-1,-1,-1
7006320900150005914600060103,34.83848,-4.7208813,No class,-1,-1,-1
7006316300150005914600060103,34.921557,-4.6834705,No class,-1,-1,-1
7006321800150005914600060103,34.946397,-4.6318959,No class,-1,-1,-1
7006314700150005914600060103,35.104781,-4.7483095,No class,-1,-1,-1
7006360600150005914600060103,35.03003,-4.5899083,No class,-1,-1,-1
7006372900150005914600060103,34.887937,-4.4881117,No class,-1,-1,-1
7006374200150005914600060103,34.899794,-4.4294998,No class,-1,-1,-1
7006371500150005914600060103,35.059743,-4.488107,No class,-1,-1,-1
7006371700150005914600060103,34.991315,-4.4809679,No class,-1,-1,-1
7006377700150005914600060103,35.078782,-4.3948803,No class,-1,-1,-1
7006211200150005914600060103,35.113005,-4.9926191,No class,-1,-1,-1
7006203700150005914600060103,35.298321,-5.0725365,No class,-1,-1,-1
7006206200150005914600060103,35.332995,-4.9968778,No class,-1,-1,-1
7006215500150005914600060103,35.143862,-4.8590574,No class,-1,-1,-1
7006270000150005914600060103,35.247885,-4.8214391,No class,-1,-1,-1
7006269000150005914600060103,35.343798,-4.7829862,No class,-1,-1,-1
7006267800150005914600060103,35.393121,-4.8182629,No class,-1,-1,-1
