specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
11940868900150095919200060103,18.292943,-0.8729259,QSO,,0.96364087,0.0004696162,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.3816317 1.9944173 2.137345  2.3978093 2.546784 ],1.2551118,4499,1.0259188,"[3.3022842e-01 7.5848304e-02 1.3750277e-02 2.8831225e-03 8.8711467e-04
 4.4355734e-04 2.2177867e-04 2.2177867e-04 2.2177867e-04 0.0000000e+00]",,,,0.04249929
11940886200150095919200060103,18.937494,-1.2437786,QSO,,1.678242,0.002291488,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.4668313 3.2149038 2.7656014 3.6464376 2.4827898],0.9882818,4472,0.96217746,"[3.0165106e-01 4.7523428e-02 5.3547523e-03 1.1155735e-03 2.2311468e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.062412262
12312208800150095919200060103,18.854629,-0.876622,QSO,BROADLINE,0.5021512,0.00022673648,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[2.4632306 4.2832656 2.9176793 3.4985662 2.6487222],1.0394081,4450,0.9835897,"[3.1121075e-01 5.2017938e-02 6.7264573e-03 6.7264575e-04 2.2421524e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.04037925
12497979800150095919200060103,18.125023,-0.7694691,QSO,,1.1286747,0.0006941691,4,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[0.85366434 1.9039204  2.3834038  2.645137   2.0653586 ],1.227245,4533,1.0160856,"[3.2753688e-01 6.3834473e-02 1.5628438e-02 4.6224962e-03 8.8047545e-04
 6.6035660e-04 2.2011886e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.029381413
12312222400150095919200060103,18.31394,-0.6293316,QSO,BROADLINE,1.9097395,0.0017901708,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.1302651 2.4510505 1.7903696 2.3235347 1.4560238],1.2145613,4533,1.0006125,"[3.2049307e-01 7.1318515e-02 1.3427251e-02 4.6224962e-03 1.5408321e-03
 6.6035660e-04 4.4023772e-04 4.4023772e-04 2.2011886e-04 2.2011886e-04]",,,,0.025977746
7029108600150095919200060103,18.898519,-0.086805621,QSO,,1.4813353,0.0021074375,64,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[2.4732575 6.299321  5.4634786 5.754847  3.526375 ],0.9982277,4533,0.943749,"[2.9143739e-01 4.4464011e-02 7.9242792e-03 2.8615452e-03 1.1005943e-03
 6.6035660e-04 2.2011886e-04 2.2011886e-04 2.2011886e-04 0.0000000e+00]",,,,0.028906489
11940886400150095919200060103,18.973949,-1.3133794,QSO,,1.4405918,0.0099236965,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.44874   1.2027708 1.3766512 1.5987374 1.1385332],0.90571266,4470,0.9276072,"[0.28816965 0.03727679 0.00736607 0.00178571 0.00111607 0.00044643
 0.         0.         0.         0.        ]",,,,0.0772515
12312247300150095919200060103,19.176492,-1.1199814,QSO,BROADLINE,1.4422812,0.0012323983,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[2.2029812 2.1948094 2.4164476 2.5287437 1.78405  ],0.97827905,4450,0.93035114,"[2.9215246e-01 3.8340807e-02 6.5022423e-03 1.5695067e-03 6.7264575e-04
 2.2421524e-04 2.2421524e-04 2.2421524e-04 2.2421524e-04 0.0000000e+00]",,,,0.039887946
7028566500150095919200060103,19.608866,-1.2240564,QSO,BROADLINE,0.2167992,6.169632e-05,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[ 1.4957267  7.354737  16.846903  24.018034  19.945902 ],2.493551,4459,1.2360859,"[0.42134705 0.12687401 0.04475274 0.02148132 0.01253077 0.00850302
 0.00626538 0.00537033 0.00313269 0.00179011]",,,,0.04683421
12126557800150095919200060103,19.70428,-1.1540654,GALAXY,,0.5919806,0.00014067757,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.042379  1.0395875 2.1265788 4.7004347 4.214866 ],1.0266399,4491,0.90849084,"[2.6811916e-01 3.4904402e-02 6.8919519e-03 2.8901733e-03 1.7785683e-03
 1.3339262e-03 1.1116052e-03 1.1116052e-03 1.1116052e-03 2.2232103e-04]",,,,0.0392404
11940896100150095919200060103,19.766809,-1.0881763,QSO,,1.1383631,0.0021126606,4,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[0.7913803 0.908917  1.1680743 1.3039688 1.424786 ],0.8821284,4498,0.8953932,"[2.7329192e-01 3.4383319e-02 3.5492459e-03 6.6548359e-04 4.4365574e-04
 2.2182787e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.03577809
12126566700150095919200060103,19.724392,-1.0868776,QSO,BROADLINE,1.5114866,0.0009793898,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.2281879 2.2702475 2.368922  2.7884624 1.8501914],1.0070834,4488,0.9284646,"[2.8212538e-01 4.7132060e-02 8.4481994e-03 2.2232104e-03 8.8928413e-04
 6.6696311e-04 4.4464206e-04 2.2232103e-04 0.0000000e+00 0.0000000e+00]",,,,0.036200996
11940926000150095919200060103,19.712809,-1.0714597,GALAXY,,0.573174,0.00012091949,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[0.80734897 1.2013167  2.5922732  5.967278   5.824001  ],1.0020372,4489,0.9433184,"[2.9025802e-01 4.7597867e-02 7.1174377e-03 8.8967971e-04 2.2241993e-04
 2.2241993e-04 2.2241993e-04 2.2241993e-04 2.2241993e-04 0.0000000e+00]",,,,0.036075883
12312272800150095919200060103,19.386207,-0.9669979,QSO,,2.5486476,0.00022410305,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.2311705 2.264712  1.9644372 1.8770704 1.499268 ],1.3872474,4470,1.0420375,"[0.34004834 0.08272898 0.02551706 0.00671501 0.00241741 0.0008058
 0.         0.         0.         0.        ]",,,,0.033598475
11940901400150095919200060103,19.995491,-1.5040484,QSO,,2.0865626,0.0017889738,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[2.422208  4.9314847 5.164103  5.144569  3.9756484],1.394675,4508,1.0011344,"[3.2088521e-01 7.6994009e-02 1.9594284e-02 7.1461503e-03 2.0746889e-03
 2.3052098e-04 2.3052098e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.052459728
12312252700150095919200060103,19.790243,-1.41489,QSO,BROADLINE,0.85492057,0.0004174729,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.5953338 3.9441817 3.3980057 3.6264203 3.1058087],0.9292403,4471,0.9235295,"[0.28297254 0.03994644 0.00468645 0.00156215 0.00066949 0.
 0.         0.         0.         0.        ]",,,,0.05405103
