id,ra,dec,class,z,z_err
7005415700150005914600060103,34.383286,-5.6325971,3,0.00043074932,2.3291295e-05
7006052600150005914600060103,36.789687,-4.8550896,5,0.1407524,1.1475185e-05
7005734100150005914600060103,35.369911,-5.9827167,4,0.5813505,0.0003036147
7005421300150005914600060103,34.397376,-5.498546,3,-0.00071865,2.5730284e-05
7006441200150005914600060103,36.711701,-4.6265908,1,0.08273896,3.4528515e-05
7005726200150005914600060103,35.617758,-6.0965984,2,1.658534,0.0013444483
7005423000150005914600060103,34.477716,-5.4114697,3,-0.00038996554,1.58202e-05
7006412000150005914600060103,34.853263,-4.1812339,1,0.0,0.0
7005692600150005914600060103,35.95899,-6.2793123,4,1.2390203,0.0013637213
7006302700150005914600060103,34.25385,-5.1713761,3,0.00030127857,1.8210176e-05
11955214000150005914600060103,35.106679,-3.820731,1,0.22713906,0.00012563971
7005694600150005914600060103,36.048021,-6.1544588,2,2.1299644,0.0019744837
7006302400150005914600060103,34.277634,-5.1750164,11,0.00023633972,2.1387063e-05
7006399000150005914600060103,35.627918,-4.0573008,1,0.0,0.0
7005702700150005914600060103,36.13731,-6.2008188,2,3.0212514,0.003662739
7006296700150005914600060103,34.459475,-5.2875034,3,-0.0003011391,7.2748655e-05
7006294500150005914600060103,35.741595,-4.311314,12,0.23798029,3.3851084e-05
7005615800150005914600060103,36.289988,-6.2221293,2,1.2806461,0.0007547722
7006330000150005914600060103,34.316562,-4.7483984,13,-6.2655694e-05,1.4629578e-05
7006294700150005914600060103,35.907666,-4.2868646,1,0.14283569,5.2520532e-05
7005703400150005914600060103,36.190746,-6.1972574,2,1.6986268,0.0009033676
7005419800150005914600060103,34.552611,-5.5218703,14,-0.000583508,4.7127036e-05
7006483600150005914600060103,36.28092,-4.3099473,15,0.10431578,2.1200767e-05
7005704100150005914600060103,36.246152,-6.1384437,2,1.5456356,0.000979021
7006157500150005914600060103,35.102282,-5.6791905,16,-0.0005007453,6.7577064e-05
7006471600150005914600060103,36.683069,-4.274131,1,0.22863203,5.8339378e-05
7005702100150005914600060103,35.820523,-6.0747067,2,2.0508418,0.0018692508
7005420200150005914600060103,34.538239,-5.4864601,13,-0.0005063523,7.684002e-05
12141093400150005914600060103,35.354084,-6.2932251,1,0.37970304,9.3523435e-05
7005730600150005914600060103,35.810521,-6.0036851,2,1.7919675,0.0011860074
7006152700150005914600060103,35.306221,-5.7062606,3,0.0006726868,1.1889037e-05
11769729800150005914600060103,35.614697,-6.2160015,1,0.4313645,0.00014019628
7005701900150005914600060103,35.891618,-6.0810754,4,2.0444229,0.0022595068
7006162600150005914600060103,35.250471,-5.5584609,3,0.0003398683,1.5873053e-05
12141101400150005914600060103,35.585907,-6.1676301,1,0.136065,9.248797e-05
7005742500150005914600060103,35.838609,-5.9334336,2,2.8681204,-1.0
7005751700150005914600060103,35.639744,-5.7300788,17,-0.000347503,7.677666e-05
12326740900150005914600060103,35.386454,-5.9120104,1,0.044920493,3.1072326e-05
7005745600150005914600060103,35.87572,-5.7994991,2,0.35376158,8.79544e-05
7005753200150005914600060103,35.585259,-5.7090063,3,0.0005060775,5.676285e-05
12326731400150005914600060103,35.841345,-6.262842,1,0.47062927,0.00011538675
7005744100150005914600060103,35.978578,-5.8111165,2,2.8273919,0.002076499
7006153400150005914600060103,35.440388,-5.6270266,3,-0.00072289753,1.6197126e-05
11769699300150005914600060103,35.709507,-6.0268517,5,0.023241462,1.1035729e-05
